"convid","cm","client","subject","open","accepted","updated","created"
1078,59,380,"Attempted Contact",TRUE,TRUE,"2016-07-28 21:25:17.932302+00","2016-07-27 18:09:44.738985+00"
1312,16,559,"New Conversation on 08/03",FALSE,TRUE,"2016-08-04 16:38:41.856932+00","2016-08-03 21:35:47.486652+00"
1273,28,52,"Test",FALSE,TRUE,"2016-08-02 15:49:39.410274+00","2016-08-02 15:49:07.006162+00"
1293,21,82,"Updated ARS Referral",FALSE,TRUE,"2016-08-02 22:11:48.626923+00","2016-08-02 22:11:48.626923+00"
1124,70,589,"New Conversation on 07/28",TRUE,TRUE,"2016-08-25 21:54:27.030614+00","2016-07-28 20:14:42.390034+00"
1197,22,576,"New Convo 2016-07-29 at 19:23:09.202",FALSE,TRUE,"2016-08-01 13:22:48.11177+00","2016-07-29 19:24:58.023802+00"
1408,52,696,"New Conversation on 08/08",FALSE,TRUE,"2016-08-23 19:56:41.988292+00","2016-08-08 16:34:15.419322+00"
1274,16,549,"New Conversation on 08/02",FALSE,TRUE,"2016-08-04 16:39:01.135887+00","2016-08-02 16:06:43.716556+00"
1246,58,366,"New Convo 2016-08-01 at 19:38:53.884",TRUE,FALSE,"2016-08-01 19:40:46.640126+00","2016-08-01 19:40:46.629752+00"
1247,70,578,"New Convo 2016-08-01 at 19:38:53.884",TRUE,FALSE,"2016-08-01 19:40:46.640126+00","2016-08-01 19:40:46.629752+00"
968,21,106,"New Convo 2016-07-19 at 17:56:12.149",FALSE,TRUE,"2016-08-03 14:51:37.207096+00","2016-07-19 17:57:47.912537+00"
1182,63,312,"Appointment Reminder",FALSE,TRUE,"2016-08-01 21:55:30.272549+00","2016-07-29 15:28:28.498581+00"
1054,21,41,"Appt",FALSE,TRUE,"2016-08-03 14:51:43.135461+00","2016-07-26 23:20:56.173098+00"
1184,21,401,"New Conversation on 07/29",FALSE,TRUE,"2016-08-03 14:53:02.053114+00","2016-07-29 15:33:58.101872+00"
1270,64,648,"New Conversation on 08/02",FALSE,TRUE,"2016-08-02 15:48:05.817863+00","2016-08-02 15:48:05.817863+00"
1334,28,120,"New Convo 2016-08-04 at 17:01:37.760",FALSE,TRUE,"2016-08-04 17:04:33.552672+00","2016-08-04 17:03:34.261867+00"
1333,28,196,"New Convo 2016-08-04 at 16:58:18.855",FALSE,TRUE,"2016-08-04 17:01:30.551543+00","2016-08-04 17:00:15.35342+00"
